"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Nov-15,Nov-14,AMOUNT,PERCENT,Nov-15,Nov-14,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"6,660,842","6,338,741","322,102",5.10%,"27,710,312","125,431,220","-97,720,908",-77.90%
Real Property Tax (gross),"4,449,070","4,651,498","-202,428",-4.40%,"22,629,492","120,653,014","-98,023,522",-81.20%
Transfer to Pilot,0,0,0,0.00%,"998,538",0,"998,538",0.00%
Transfer to TIF,"2,083",0,"2,083",0.00%,"461,317",0,"461,317",0.00%
Real Property Tax (net),"4,446,987","4,651,498","-204,511",-4.40%,"21,169,637","120,653,014","-99,483,377",-82.50%
Personal Property,"720,254","333,071","387,183",116.20%,"1,134,008","1,213,833","-79,826",-6.60%
Public Spaces,"1,491,519","1,354,172","137,347",10.10%,"3,946,812","3,564,373","382,439",10.70%
TOTAL PROPERTY TAXES (net),"6,658,759","6,338,741","320,019",5.00%,"26,250,457","125,431,220","-99,180,763",-79.10%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"116,131,498","112,829,555","3,301,943",2.90%,"246,205,812","239,431,128","6,774,684",2.80%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"110,321,958","106,673,031","3,648,927",3.40%,"231,811,502","227,436,861","4,374,641",1.90%
Convention Center Transfer,"11,089,058","10,104,979","984,079",9.70%,"20,855,581","20,730,502","125,079",0.60%
Transfer to Ballpark Fund,0,"1,571,150","-1,571,150",-100.00%,"2,440,275","1,571,150","869,125",55.30%
Transfer to Healthy Schools,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"53,740","46,619","7,121",15.30%,"106,914","173,389","-66,475",-38.30%
Transfer to TIF,"2,754,470",0,"2,754,470",0.00%,"5,129,184",0,"5,129,184",0.00%
Transfer to WMATA,"14,377,154","6,960,714","7,416,440",106.50%,"14,377,154","6,960,714","7,416,440",106.50%
General Sales And Use Tax (net),"82,047,536","87,989,569","-5,942,032",-6.80%,"188,902,394","198,001,107","-9,098,712",-4.60%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"82,047,536","87,989,569","-5,942,032",-6.80%,"188,902,394","198,001,107","-9,098,712",-4.60%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"502,812","572,189","-69,376",-12.10%,"1,129,696","1,115,434","14,262",1.30%
