"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Dec-16,Dec-15,AMOUNT,PERCENT,Dec-16,Dec-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"6,996,437","7,921,602","-925,165",-11.70%,"35,058,330","35,734,509","-676,179",(1.9%
Real Property Tax (gross),"6,758,836","5,780,958","977,878",16.90%,"30,295,338","28,501,552","1,793,786",6.3
Transfer to Pilot,0,0,0,0.00%,"1,236,464","998,538","237,926",23.8
Transfer to TIF,"2,059","2,083",-24,-1.10%,"1,923,596","463,400","1,460,196",315.1
Real Property Tax (net),"6,756,777","5,778,875","977,901",16.90%,"27,135,277","27,039,613","95,664",0.4
Personal Property,"630,068","986,073","-356,005",-36.10%,"1,761,803","2,120,080","-358,277",(16.9%
Public Spaces,"-392,467","1,154,571","-1,547,038",-134.00%,"3,001,189","5,112,877","-2,111,687",(41.3%
TOTAL PROPERTY TAXES (net),"6,994,377","7,919,519","-925,142",-11.70%,"31,898,270","34,272,570","-2,374,300",(6.9%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"105,328,657","107,968,675","-2,640,018",-2.40%,"380,131,806","354,233,396","25,898,411",7.3
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"99,415,999","101,436,028","-2,020,029",-2.00%,"359,645,617","333,306,439","26,339,177",7.9
Convention Center Transfer,"12,190,064","443,393","11,746,671",2649.30%,"37,815,462","21,298,974","16,516,489",77.5
Transfer to Ballpark Fund,"953,136","1,623,346","-670,210",-41.30%,"4,048,666","4,063,620","-14,955",(0.4%
Transfer to Healthy DC Fund,0,"33,414","-33,414",-100.00%,0,"92,323","-92,323",(100.0%
Transfer to Prepaid Wireless (UC0),"46,971","50,146","-3,176",-6.30%,"146,730","157,060","-10,330",(6.6%
Transfer to TIF,"3,968,080","2,998,708","969,372",32.30%,"7,519,547","8,127,892","-608,345",(7.5%
Transfer to WMATA,"5,599,517","5,336,492","263,025",4.90%,"19,588,870","19,713,646","-124,776",(0.6%
General Sales And Use Tax (net),"76,658,232","90,950,529","-14,292,297",-15.70%,"290,526,341","279,852,923","10,673,417",3.8
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0
TOTAL GENERAL SALES AND USE TAXES (net),"76,658,232","90,950,529","-14,292,297",-15.70%,"290,526,341","279,852,923","10,673,417",3.8
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"599,284","587,761","11,524",2.00%,"1,782,429","1,717,457","64,972",3.8
Cigarette,"1,732,540","2,172,097","-439,557",-20.20%,"7,287,644","7,912,945","-625,301",(7.9%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0
Motor Vehicle Excise Tax Gross Coll,"3,580,834","3,772,789","-191,955",-5.10%,"11,416,116","11,296,554","119,562",1.1
TOTAL SELECTIVE SALES TAXES (net),"5,912,658","6,532,647","-619,989",-9.50%,"20,486,190","20,926,956","-440,767",(2.1%
TOTAL SALES TAXES (net),"82,570,890","97,483,176","-14,912,286",-15.30%,"311,012,530","300,779,880","10,232,651",3.4
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"245,467,619","251,796,540","-6,328,921",-2.50%,"539,893,310","523,783,514","16,109,796",3.1
