"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Feb-16,Feb-15,AMOUNT,PERCENT,Feb-16,Feb-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"1,013,539","1,878,259","-864,720",-46.00%,"37,673,717","124,354,781","-86,681,063",-69.70%
Real Property Tax (gross),"-78,994","1,127,326","-1,206,320",-107.00%,"27,484,660","114,862,341","-87,377,680",-76.10%
Transfer to Pilot,0,0,0,0.00%,"998,538","773,396","225,142",29.10%
Transfer to TIF,"221,765",0,"221,765",0.00%,"687,248","13,763","673,484",4893.30%
Real Property Tax (net),"-300,758","1,127,326","-1,428,084",-126.70%,"25,798,874","114,075,181","-88,276,307",-77.40%
Personal Property,"284,848","86,633","198,215",228.80%,"2,404,722","2,281,270","123,451",5.40%
Public Spaces,"807,684","664,300","143,384",21.60%,"7,784,335","7,211,170","573,165",7.90%
TOTAL PROPERTY TAXES (net),"791,774","1,878,259","-1,086,485",-57.80%,"35,987,931","123,567,621","-87,579,690",-70.90%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"89,252,774","87,952,420","1,300,354",1.50%,"559,385,659","539,697,277","19,688,382",3.60%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"83,648,382","82,612,254","1,036,128",1.30%,"526,212,755","507,802,757","18,409,998",3.60%
Convention Center Transfer,"7,331,607","6,611,783","719,824",10.90%,"34,053,049","43,379,025","-9,325,976",-21.50%
Transfer to Ballpark Fund,"966,635","1,727,282","-760,647",-44.00%,"5,510,991","4,243,141","1,267,850",29.90%
Transfer to Healthy DC Fund,0,0,0,0.00%,0,0,0,0.00%
Transfer to Healthy Schools,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"48,707","48,475",232,0.50%,"257,333","329,689","-72,355",-21.90%
Transfer to TIF,"2,172,930","973,072","1,199,858",123.30%,"11,312,722","8,874,228","2,438,494",27.50%
Transfer to WMATA,"5,087,846","4,000,152","1,087,694",27.20%,"30,411,434","26,612,305","3,799,129",14.30%
