,org_type,org_code,year,subgroup,population,in_seat_attendance,state_in_seat_attendance,average_daily_attendance,state_average_daily_attendance,School Name
1,school,0175,2016,wh7,,0.97,0.961,,,School Within School at Goding
2,school,0175,2016,sped,,0.941,0.925,,,School Within School at Goding
3,school,0175,2016,mu7,,0.967,0.953,,,School Within School at Goding
4,school,0175,2016,male,,0.961,0.933,,,School Within School at Goding
5,school,0175,2016,hi7,,0.969,0.947,,,School Within School at Goding
6,school,0175,2016,female,,0.965,0.935,,,School Within School at Goding
7,school,0175,2016,economy,,0.921,0.927,,,School Within School at Goding
8,school,0175,2016,bl7,,0.938,0.924,,,School Within School at Goding
9,school,0175,2016,all,,0.963,0.934,,,School Within School at Goding
1,school,0202,2016,sped,,0.943,0.926,,,Aiton ES
2,school,0202,2016,male,,0.934,0.934,,,Aiton ES
3,school,0202,2016,female,,0.938,0.936,,,Aiton ES
4,school,0202,2016,economy,,0.936,0.929,,,Aiton ES
5,school,0202,2016,bl7,,0.936,0.926,,,Aiton ES
6,school,0202,2016,all,,0.936,0.935,,,Aiton ES
1,school,0203,2016,wh7,,0.905,0.961,,,Amidon Bowen ES
2,school,0203,2016,sped,,0.932,0.926,,,Amidon Bowen ES
3,school,0203,2016,male,,0.925,0.934,,,Amidon Bowen ES
4,school,0203,2016,hi7,,0.928,0.948,,,Amidon Bowen ES
5,school,0203,2016,female,,0.923,0.936,,,Amidon Bowen ES
6,school,0203,2016,economy,,0.924,0.929,,,Amidon Bowen ES
7,school,0203,2016,bl7,,0.924,0.926,,,Amidon Bowen ES
8,school,0203,2016,all,,0.924,0.935,,,Amidon Bowen ES
1,school,0204,2016,wh7,,0.964,0.961,,,Bancroft ES at Sharpe
2,school,0204,2016,sped,,0.947,0.926,,,Bancroft ES at Sharpe
3,school,0204,2016,male,,0.966,0.934,,,Bancroft ES at Sharpe
4,school,0204,2016,lep,,0.964,0.949,,,Bancroft ES at Sharpe
5,school,0204,2016,hi7,,0.966,0.948,,,Bancroft ES at Sharpe
6,school,0204,2016,female,,0.964,0.936,,,Bancroft ES at Sharpe
7,school,0204,2016,economy,,0.965,0.929,,,Bancroft ES at Sharpe
8,school,0204,2016,bl7,,0.952,0.926,,,Bancroft ES at Sharpe
9,school,0204,2016,as7,,0.967,0.962,,,Bancroft ES at Sharpe
10,school,0204,2016,all,,0.965,0.935,,,Bancroft ES at Sharpe
1,school,0205,2016,wh7,,0.971,0.961,,,Barnard ES
2,school,0205,2016,sped,,0.935,0.926,,,Barnard ES
3,school,0205,2016,mu7,,0.93,0.953,,,Barnard ES
4,school,0205,2016,male,,0.946,0.934,,,Barnard ES
5,school,0205,2016,lep,,0.953,0.949,,,Barnard ES
6,school,0205,2016,hi7,,0.953,0.948,,,Barnard ES
7,school,0205,2016,female,,0.954,0.936,,,Barnard ES
8,school,0205,2016,economy,,0.95,0.929,,,Barnard ES
9,school,0205,2016,bl7,,0.946,0.926,,,Barnard ES
10,school,0205,2016,all,,0.95,0.935,,,Barnard ES
