"",,January 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"45,433","43,243","2,190",4.8
2,"46,373","45,123","1,250",2.7
3,"51,337","50,614",723,1.4
4,"40,965","39,099","1,867",4.6
5,"33,308","30,719","2,588",7.8
6,"40,011","37,747","2,264",5.7
7,"31,880","28,809","3,071",9.6
8,"26,604","22,633","3,971",14.9
"",,February 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"45,847","43,593","2,254",4.9
2,"46,775","45,488","1,287",2.8
3,"51,768","51,023",744,1.4
4,"41,336","39,415","1,921",4.6
5,"33,632","30,968","2,664",7.9
6,"40,383","38,053","2,331",5.8
7,"32,203","29,042","3,161",9.8
8,"26,903","22,816","4,087",15.2
"",,March 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"45,718","43,532","2,186",4.8
2,"46,673","45,425","1,248",2.7
3,"51,674","50,952",722,1.4
4,"41,224","39,360","1,864",4.5
5,"33,509","30,925","2,584",7.7
6,"40,260","38,000","2,261",5.6
7,"32,068","29,002","3,066",9.6
8,"26,749","22,785","3,964",14.8
"",,April 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"45,510","43,419","2,091",4.6
2,"46,501","45,307","1,194",2.6
3,"51,510","50,820",690,1.3
4,"41,040","39,258","1,782",4.3
5,"33,316","30,845","2,471",7.4
6,"40,063","37,901","2,162",5.4
7,"31,859","28,927","2,932",9.2
8,"26,517","22,725","3,791",14.3
"",,May 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"45,903","43,639","2,264",4.9
2,"46,829","45,536","1,293",2.8
3,"51,825","51,077",748,1.4
4,"41,387","39,457","1,930",4.7
5,"33,677","31,001","2,676",7.9
6,"40,434","38,093","2,341",5.8
7,"32,248","29,073","3,176",9.8
8,"26,946","22,840","4,106",15.2
"",,June 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"47,000","44,646","2,354",5.0
2,"47,931","46,587","1,344",2.8
3,"53,033","52,256",777,1.5
4,"42,374","40,367","2,007",4.7
5,"34,499","31,716","2,783",8.1
6,"41,406","38,972","2,434",5.9
7,"33,046","29,744","3,302",10.0
8,"27,636","23,367","4,269",15.4
"",,July 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"47,577","45,030 2,548",,5.4
2,"48,442","46,987 1,454",,3.0
3,"53,546","52,705 841",,1.6
4,"42,886","40,714 2,172",,5.1
5,"35,000","31,989 3,011",,8.6
6,"41,941","39,307 2,634",,6.3
7,"33,572","30,000 3,573",,10.6
8,"28,187","23,568 4,619",,16.4
"",,August 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"46,784","44,408 2,375",,5.1
2,"47,695","46,339 1,356",,2.8
3,"52,762","51,978 784",,1.5
4,"42,177","40,152 2,025",,4.8
5,"34,355","31,547 2,807",,8.2
6,"41,221","38,765 2,456",,6.0
7,"32,917","29,585 3,331",,10.1
8,"27,550","23,243 4,307",,15.6
"",,September 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"46,168","43,915 2,253",,4.9
2,"47,111","45,825 1,286",,2.7
3,"52,145","51,401 744",,1.4
4,"41,627","39,707 1,921",,4.6
5,"33,860","31,197 2,663",,7.9
6,"40,664","38,334 2,330",,5.7
7,"32,417","29,257 3,160",,9.7
8,"27,070","22,985 4,085",,15.1
"",,October 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"46,712","44,636","2,076",4.4
2,"47,762","46,577","1,185",2.5
3,"52,930","52,245",686,1.3
4,"42,128","40,359","1,770",4.2
5,"34,163","31,709","2,454",7.2
6,"41,110","38,964","2,146",5.2
7,"32,649","29,737","2,911",8.9
8,"27,127","23,363","3,764",13.9
"",,November 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"46,591","44,448","2,143",4.6
2,"47,604","46,381","1,223",2.6
3,"52,732","52,025",707,1.3
4,"42,015","40,189","1,826",4.3
5,"34,108","31,576","2,532",7.4
6,"41,015","38,800","2,215",5.4
7,"32,617","29,612","3,005",9.2
8,"27,149","23,264","3,885",14.3
"",,December 2006,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"46,767","44,513","2,254",4.8
2,"47,735","46,448","1,287",2.7
3,"52,844","52,100",744,1.4
4,"42,168","40,247","1,921",4.6
5,"34,285","31,622","2,664",7.8
6,"41,186","38,856","2,330",5.7
7,"32,816","29,655","3,161",9.6
8,"27,384","23,298","4,086",14.9
